stat_id,source_id,population,question_n,statistic,decision_use,limitation
STAT-001,S-77-001,Developers answering collaboration-tool question,30065,"GitHub 81%; Jira 46%; GitLab 36% used regularly","Confirms broad use of issue and collaboration systems; supports preserving the issue lifecycle rather than a generic task list","Usage does not reveal which feature is critical"
STAT-002,S-77-001,Respondents describing work tool count,27378,"54% use six or more applications or platforms at work","Raises consolidation value for search, views, context, and activity in one system","Counts all work tools, not only project tools"
STAT-003,S-77-001,Respondents describing personal-project tool count,25391,"65% use five or fewer tools for side or personal projects","Supports a compact self-contained single-owner product boundary","Does not measure willingness to migrate"
STAT-004,S-77-001,Work-project technology detractors,23603,"Security/privacy rank 1; pricing rank 2; poor usability rank 4; time cost rank 5","Supports local ownership, free availability, interaction quality, and efficient core flows","Ranks technology rejection factors, not project-manager features"
STAT-005,S-77-001,Personal-project technology detractors,8758,"Pricing rank 1; security/privacy rank 2; poor usability rank 4; time cost rank 5","Strengthens free self-hosted and single-owner priorities across non-employer projects","Self-selected developer sample"
STAT-006,S-77-001,Work-project technology endorsements,24712,"Robust/complete API rank 1; quality rank 2; easy API rank 3; reliability rank 4","Supports stable contracts, reliable mutations, and migration/export tooling","Technology selection is broader than work management"
STAT-007,S-77-001,Work and personal project endorsements,24712,"AI integration ranks 9 of 10 for work; also rank 9 for personal projects","Keeps AI outside v0.1 migration-critical scope","Does not imply AI has no later value"
STAT-008,S-77-002,Project professionals worldwide,2246,"Always/often use: predictive 43.9%; hybrid 31.5%; agile 24.6%","Requires method-neutral projects, statuses, milestones, and views instead of a Scrum-only model","Multiple approaches could be selected"
STAT-009,S-77-002,Project professionals worldwide,2246,"Hybrid use rose from 20% in 2020 to 31.5% in 2023","Supports configurable status workflows and flexible project structure","Trend is about methods, not UI controls"
STAT-010,S-77-002,Project professionals worldwide,2246,"76% expect agile use and 73% hybrid use to increase over five years","Keeps workflow configuration reusable across project types","Expectation is not observed future behavior"
STAT-011,S-77-003,DevSecOps professionals in 39 countries,"5000+","64% want to consolidate their toolchain","Supports integrated work context and minimizes mandatory external integrations","Vendor-sponsored platform survey"
STAT-012,S-77-003,DevSecOps professionals in 39 countries,"5000+","67% report mostly or completely automated software lifecycles","Supports API-stable mutations and durable activity for later automation without making integrations v0.1 scope","Automation is not direct workflow-priority evidence"
STAT-013,S-77-004,Knowledge workers across five countries,5000,"70% say fewer and more specific goals would ease progress","Supports project/milestone goals, prioritization, and focused views","Vendor-sponsored team survey"
STAT-014,S-77-004,Knowledge workers across five countries,5000,"55% find information hard to locate","Supports search, filters, saved views, and context-preserving detail","Does not isolate project-management information"
STAT-015,S-77-004,Knowledge workers across five countries,5000,"56% say inconsistent planning/tracking methods hinder collaboration","Supports a consistent model that remains configurable across methods","v0.1 exposes one user, so no multi-user feature inference"
STAT-016,S-77-004,Knowledge workers across five countries,5000,"50% discovered duplicate project work after it started","Supports visible project scope, milestones, relations, and activity context","Multi-team duplication is not a v0.1 collaboration requirement"
